,Name,Ranking,Reviews,Rating,Price,Cuisines,Address,Latitude,Longitude,Phone,Link,District
22,Pho Viet,176,691,4.5,Cheap,"['Asian', 'Vietnamese', 'Soups']","162 Parnell Street, Dublin Dublin 1 Ireland",53.352908,-6.260928,+353 1 878 3165,/Restaurant_Review-g186605-d3795065-Reviews-Pho_Viet-Dublin_County_Dublin.html,1
23,101 Talbot Street,193,696,4.5,Average,"['Irish', 'European', 'Vegetarian Friendly']","100-102 Talbot Street, Dublin Ireland",53.350939,-6.2531516,+353 1 874 5011,/Restaurant_Review-g186605-d696170-Reviews-101_Talbot_Street-Dublin_County_Dublin.html,1
24,Madigan's Pub Abbey Street,206,280,4.5,Average,"['Irish', 'Bar', 'European']","4 Lower Abbey Street Dublin 1, Dublin Ireland",53.3486474,-6.2588423,+353 1 874 5456,/Restaurant_Review-g186605-d3605327-Reviews-Madigan_s_Pub_Abbey_Street-Dublin_County_Dublin.html,1
25,Koh Restaurant & Cocktail Lounge,211,913,4.5,Average,"['Asian', 'Thai', 'Vegetarian Friendly']","6/7 Jervis Street Millennium Walkway, Dublin Dublin 1 Ireland",53.3474137063674,-6.26558942683401,+353 1 814 6777,/Restaurant_Review-g186605-d1125214-Reviews-Koh_Restaurant_Cocktail_Lounge-Dublin_County_Dublin.html,1
26,BoBos Burgers Restaurant,212,458,4.5,Average,"['Irish', 'Vegetarian Friendly', 'Vegan Options']","74 Middle Abbey Street, Dublin 1, Dublin D11 X8DH Ireland",53.3481531,-6.2603881,+353 1 538 0800,/Restaurant_Review-g186605-d10594705-Reviews-BoBos_Burgers_Restaurant-Dublin_County_Dublin.html,1
27,The Parnell Heritage Bar & Grill,214,1682,4.5,Average,"['Irish', 'Bar', 'European']","72-74 Parnell Street, Dublin Ireland",53.3504836,-6.2662961,+353 1 878 3380,/Restaurant_Review-g186605-d2540934-Reviews-The_Parnell_Heritage_Bar_Grill-Dublin_County_Dublin.html,1
28,Bach 16,215,614,4.5,Average,"['Italian', 'Pizza', 'European']","16 Bachelors Walk Dublin 1, Dublin Ireland",53.346987804928,-6.26156543615742,+353 1 872 0215,/Restaurant_Review-g186605-d5601769-Reviews-Bach_16-Dublin_County_Dublin.html,1
29,Urban Brewing & Stack A Restaurant,224,248,4.5,Average,"['Bar', 'International', 'European']","Urban Brewing Vault C, the Chq Building. Custom House Quay - IFS, Dublin D01 Y6P5 Ireland",53.3490752,-6.2482662,+353 1 568 5989,/Restaurant_Review-g186605-d12675773-Reviews-Urban_Brewing_Stack_A_Restaurant-Dublin_County_Dublin.html,1
30,The Church,231,5503,4,Average,"['Irish', 'International', 'Gastropub']","Mary Street Junction of Mary and Jervis Street, Dublin D01 YX64 Ireland",53.3485724,-6.2669593003386,+353 1 828 0102,/Restaurant_Review-g186605-d792839-Reviews-The_Church-Dublin_County_Dublin.html,1
31,Kingfisher,236,911,4,Average,"['Cafe', 'Diner', 'Vegetarian Friendly']","166 Parnell Street, Dublin D01 R6K0 Ireland",53.3518257,-6.2633561,+353 1 872 8732,/Restaurant_Review-g186605-d1017852-Reviews-Kingfisher-Dublin_County_Dublin.html,1
32,Gin Palace,241,211,4.5,Average,"['Irish', 'Bar', 'European']","42 Middle Abbey Street, Dublin D1 Ireland",53.3478458,-6.2634401,+353 1 874 8881,/Restaurant_Review-g186605-d4090478-Reviews-Gin_Palace-Dublin_County_Dublin.html,1
33,The Winding Stair,245,2133,4.5,Average,"['Irish', 'Seafood', 'European']","40 Lower Ormond Quay, Dublin D1 Ireland",53.346596,-6.263784,+353 1 872 7320,/Restaurant_Review-g186605-d946685-Reviews-The_Winding_Stair-Dublin_County_Dublin.html,1
34,The Black Sheep,250,343,4.5,Average,"['Irish', 'Bar', 'European']","61 Capel Street, Dublin Ireland",53.3497083637558,-6.26906553088115,+353 1 873 0013,/Restaurant_Review-g186605-d2556756-Reviews-The_Black_Sheep-Dublin_County_Dublin.html,1
35,Madigan's Pub O'Connell Street,256,1791,4.5,Average,"['Irish', 'Bar', 'Pub']","19 O' Connell Street Dublin 1, Dublin XXX Ireland",53.3514401,-6.2604011,+353 1 874 3692,/Restaurant_Review-g186605-d2407123-Reviews-Madigan_s_Pub_O_Connell_Street-Dublin_County_Dublin.html,1
36,Le Bon Crubeen,284,1445,4,Average,"['Fusion', 'Vegetarian Friendly', 'Vegan Options']","81 Talbot Street, Dublin D01 CD34 Ireland",53.3506083343476,-6.25512659549769,+353 1 704 0126,/Restaurant_Review-g186605-d1675018-Reviews-Le_Bon_Crubeen-Dublin_County_Dublin.html,1
37,Kumpir Cafe,288,68,4.5,Average,"['Cafe', 'European', 'Vegetarian Friendly']","22 Bachelors Walk, Dublin D01 V838 Ireland",53.3472865,-6.2611358,+353 1 865 6772,/Restaurant_Review-g186605-d14208385-Reviews-Kumpir_Cafe-Dublin_County_Dublin.html,1
38,Old Music Shop Restaurant,302,222,4,Average,"['Irish', 'European', 'Healthy']","No. 3 North Frederick Street Off Parnell Square, Dublin DUBLIN1 Ireland",53.3548799,-6.2636843,+353 1 879 7888,/Restaurant_Review-g186605-d7086270-Reviews-Old_Music_Shop_Restaurant-Dublin_County_Dublin.html,1
39,Kimchi,307,368,4,Average,"['Japanese', 'Sushi', 'Asian']","160-161 Parnell Street, Dublin D01 Y4A7 Ireland",53.3530155,-6.26087527066316,+353 1 872 8318,/Restaurant_Review-g186605-d809609-Reviews-Kimchi-Dublin_County_Dublin.html,1
40,Yamamori Sushi,309,845,4,Average,"['Japanese', 'Sushi', 'Asian']","38-39 Lower Ormond Quay, Dublin 1 Ireland",53.3468227199128,-6.26375874089252,+353 1 872 0003,/Restaurant_Review-g186605-d785611-Reviews-Yamamori_Sushi-Dublin_County_Dublin.html,1
41,Ely Bar & Grill,310,779,4,Average,"['Irish', 'Bar', 'International']","CHQ Building ISFC George's Dock North Dock, Dublin Ireland",53.348844,-6.2478518,+353 1 672 0010,/Restaurant_Review-g186605-d783130-Reviews-Ely_Bar_Grill-Dublin_County_Dublin.html,1
42,O'Sheas Of Talbot Street,311,895,4,Average,"['Irish', 'Bar', 'European']","19 Talbot Street, Dublin Ireland",53.3508843,-6.2543097,+353 1 836 5670,/Restaurant_Review-g186605-d1072474-Reviews-O_Sheas_Of_Talbot_Street-Dublin_County_Dublin.html,1
43,Fujiyama Dublin Restaurant,321,236,4,Average,"['Japanese', 'Sushi', 'Asian']","11/11a o Connell Street, Dublin Dublin 1 Ireland",53.3506245916608,-6.26055978656797,+353 1 889 9975,/Restaurant_Review-g186605-d6404670-Reviews-Fujiyama_Dublin_Restaurant-Dublin_County_Dublin.html,1
44,The Brew Dock,329,349,4,Average,"['Irish', 'Bar', 'Pub']","1 Amiens Street, Dublin Dublin 1 Ireland",53.3500594363732,-6.25101368221419,+353 1 888 1842,/Restaurant_Review-g186605-d3193707-Reviews-The_Brew_Dock-Dublin_County_Dublin.html,1
45,Arlington Hotel and Knightsbridge Bar,341,384,4,Average,"['Irish', 'Bar', 'European']","Arlington Hotel 23-25 Bachelors Walk, Dublin Ireland",53.3473053,-6.2606862,+353 1 804 9100,/Restaurant_Review-g186605-d743272-Reviews-Arlington_Hotel_and_Knightsbridge_Bar-Dublin_County_Dublin.html,1
46,The Bailey Bar Dublin,350,450,4,Average,"['Irish', 'Bar', 'European']","1-4 Duke Street, Dublin Ireland",53.3510557,-6.24790297569196,+353 1 670 4939,/Restaurant_Review-g186605-d696178-Reviews-The_Bailey_Bar_Dublin-Dublin_County_Dublin.html,1
47,J2 grill & Sushi bar,359,237,4,Average,"['Japanese', 'Sushi', 'Asian']","North wall quay, Dublin Ireland",53.3476853,-6.2440058,+353 1 791 9759,/Restaurant_Review-g186605-d3929244-Reviews-J2_grill_Sushi_bar-Dublin_County_Dublin.html,1
48,The Woolshed,367,305,4,Average,"['Bar', 'Pub', 'Vegetarian Friendly']","Parnell Centre Parnell Street, Dublin Ireland",53.3502671,-6.2674686,+353 1 872 4325,/Restaurant_Review-g186605-d1017789-Reviews-The_Woolshed-Dublin_County_Dublin.html,1
49,Arlington Hotel O'Connell Bridge Restaurant,377,399,4,Average,"['Irish', 'Bar', 'European']","23 - 25 Bachelors Walk, Dublin D1 Ireland",53.3472425,-6.2609182,+353 1 804 9100,/Restaurant_Review-g186605-d5509822-Reviews-Arlington_Hotel_O_Connell_Bridge_Restaurant-Dublin_County_Dublin.html,1
50,The Italian Connection,379,582,4,Average,"['Italian', 'Pizza', 'Mediterranean']","95 Talbot Street, Dublin Dublin 1 Ireland",53.3503641056979,-6.25664902265801,+353 1 878 7125,/Restaurant_Review-g186605-d941005-Reviews-The_Italian_Connection-Dublin_County_Dublin.html,1
51,Wallace's Taverna,380,707,4,Average,"['Italian', 'Pizza', 'Mediterranean']","24 Lower Ormond Quay Italian Quarter, Dublin 1, Dublin Ireland",53.346442545741,-6.26503440974598,+353 1 873 0040,/Restaurant_Review-g186605-d2296668-Reviews-Wallace_s_Taverna-Dublin_County_Dublin.html,1
52,Terra Madre Cafe,383,416,4,Average,"['Italian', 'Mediterranean', 'European']","13a Bachelors Walk Dublin 1, Dublin Ireland",53.3470381,-6.2619715,+353 1 873 5300,/Restaurant_Review-g186605-d2357294-Reviews-Terra_Madre_Cafe-Dublin_County_Dublin.html,1
53,Enoteca delle Langhe,397,278,4,Average,"['Italian', 'Mediterranean', 'European']","Blooms Lane, Italian Quarter, Dublin 1 Ireland",53.3466089,-6.2652915,+353 1 888 0834,/Restaurant_Review-g186605-d1577204-Reviews-Enoteca_delle_Langhe-Dublin_County_Dublin.html,1
54,Bachelor Inn,400,329,4,Average,"['Irish', 'Bar', 'British']","31 Bachelor Walk, Dublin 1 Ireland",53.3474624,-6.26017763886162,+353 1 873 1238,/Restaurant_Review-g186605-d3340067-Reviews-Bachelor_Inn-Dublin_County_Dublin.html,1
55,The Pantry,405,142,4.5,Cheap,"['Irish', 'Cafe', 'European']","64 Talbot Street, Dublin Ireland",53.351066,-6.2517695,+353 85 202 1694,/Restaurant_Review-g186605-d7742875-Reviews-The_Pantry-Dublin_County_Dublin.html,1
56,The Castle Vaults Bar and Restaurant,408,61,4.5,Average,"['Irish', 'Bar', 'European']","Gardiner Row, Gt Denmark Street, Dublin D01 R640 Ireland",53.355046,-6.262611,+353 1 874 6949,/Restaurant_Review-g186605-d13510734-Reviews-The_Castle_Vaults_Bar_and_Restaurant-Dublin_County_Dublin.html,1
57,M&L Chinese Restaurant,413,377,4,Average,"['Chinese', 'Asian', 'Fusion']","13-14 Cathedral Street Dublin 1, Dublin Dublin 1 Ireland",53.3506474,-6.2595379,+353 1 874 8038,/Restaurant_Review-g186605-d3543446-Reviews-M_L_Chinese_Restaurant-Dublin_County_Dublin.html,1
58,Il Capo,417,86,4.5,Cheap,"['Quick Bites', 'Italian', 'Pizza']","62 Talbot Street, Dublin Ireland",53.3511931652483,-6.25179235891413,+353 1 819 4764,/Restaurant_Review-g186605-d9849783-Reviews-Il_Capo-Dublin_County_Dublin.html,1
59,Ann's Bakery,421,338,4,Cheap,"['Irish', 'Cafe', 'European']","41 Mary Street Dublin 1, Dublin D01 AP11 Ireland",53.3490228674261,-6.26533331416891,+353 1 872 7759,/Restaurant_Review-g186605-d2287823-Reviews-Ann_s_Bakery-Dublin_County_Dublin.html,1
60,Flanagans Restaurant,429,1287,4,Average,"['Irish', 'European', 'Vegetarian Friendly']","61 O'Connell Street Upper Leinster, Dublin D01 Y274 Ireland",53.350314,-6.2609607,+353 1 873 1388,/Restaurant_Review-g186605-d1497240-Reviews-Flanagans_Restaurant-Dublin_County_Dublin.html,1
61,Ruby's Pizza & Grill Point Square,434,126,4.5,Average,"['Irish', 'Bar', 'Pizza']","Point Village 5 The Square, Dublin D04 N9X8 Ireland",53.348447,-6.227838,+353 1 726 2007,/Restaurant_Review-g186605-d12952438-Reviews-Ruby_s_Pizza_Grill_Point_Square-Dublin_County_Dublin.html,1
62,McGettigan's D9,439,178,4.5,Average,"['Irish', 'Bar', 'European']","Swords Road, Dublin D09 C623 Ireland",53.3517434846639,-6.24997743309211,+353 1 808 3770,/Restaurant_Review-g186605-d12909010-Reviews-McGettigan_s_D9-Dublin_County_Dublin.html,1
63,Wynn's Hotel,448,114,4,Average,"['Irish', 'European']","35 Lower Abbey Street, Dublin Ireland",53.3484866,-6.2585758,+353 1 874 5131,/Restaurant_Review-g186605-d3174206-Reviews-Wynn_s_Hotel-Dublin_County_Dublin.html,1
64,Lily's Cafe,455,126,4,Average,"['Irish', 'Cafe', 'European']","3A Cavendish Row, Dublin Ireland",53.3529434,-6.2614053,+353 1 872 9379,/Restaurant_Review-g186605-d11950992-Reviews-Lily_s_Cafe-Dublin_County_Dublin.html,1
65,Wings Gourmet Burger,462,194,4,Cheap,"['American', 'Vegetarian Friendly', 'Vegan Options']","Upper O’Connell Street Opposite Gresham Hotel, Dublin Ireland",53.3515031394667,-6.26102683053476,+353 1 874 9955,/Restaurant_Review-g186605-d6875219-Reviews-Wings_Gourmet_Burger-Dublin_County_Dublin.html,1
66,Fusciardi's of Capel Street,472,66,4.5,Average,"['Italian', 'Pizza', 'European']","10 Capel Street D1, Dublin Ireland",53.346709,-6.2679524,+353 1 441 1333,/Restaurant_Review-g186605-d11822014-Reviews-Fusciardi_s_of_Capel_Street-Dublin_County_Dublin.html,1
67,Doppio Zero,489,85,4.5,Average,"['Italian', 'Pizza', 'European']","4A Abbey Street Upper, Dublin Dublin 1 Ireland",53.3473745811792,-6.26776555224751,,/Restaurant_Review-g186605-d5966587-Reviews-Doppio_Zero-Dublin_County_Dublin.html,1
68,Mish.Mash,500,92,4.5,Cheap,"['Cafe', 'European', 'Healthy']","66 Capel Street, Dublin D01 X7H2 Ireland",53.3500012253067,-6.26932991442305,+353 1 556 1080,/Restaurant_Review-g186605-d5042910-Reviews-Mish_Mash-Dublin_County_Dublin.html,1
69,Blas Cafe,504,48,4.5,Average,"['Irish', 'Cafe', 'European']","26, Kings Inn St, Dublin Dublin 1 Ireland",53.3512824,-6.2675227,+353 86 363 0939,/Restaurant_Review-g186605-d8813063-Reviews-Blas_Cafe-Dublin_County_Dublin.html,1
70,On The Pig's Back Eatery,505,71,4.5,Average,"['American', 'Vegetarian Friendly', 'Vegan Options']","64 Capel Street, Dublin Ireland",53.3498993,-6.2692521,+353 87 185 1507,/Restaurant_Review-g186605-d10031280-Reviews-On_The_Pig_s_Back_Eatery-Dublin_County_Dublin.html,1
71,La Cucina,508,183,4,Average,"['Italian', 'Mediterranean', 'European']","59 South William Street, Dublin Ireland",53.3502781,-6.2661394,+353 1 677 1221,/Restaurant_Review-g186605-d12539245-Reviews-La_Cucina-Dublin_County_Dublin.html,1
72,Art Cafe Dublin,532,107,4,Cheap,"['Irish', 'Cafe', 'Vegetarian Friendly']","1 Frenchmans Lane, Dublin Ireland",53.349962195394,-6.25366001418401,+353 1 515 6502,/Restaurant_Review-g186605-d10109100-Reviews-Art_Cafe_Dublin-Dublin_County_Dublin.html,1
73,Admiral Restaurant,534,153,4,Average,"['European', 'Russian', 'Eastern European']","Marlborough Street 1 Q-Park Ground Floor, Dublin D1 Ireland",53.3524291658177,-6.25883726395596,+353 87 697 1560,/Restaurant_Review-g186605-d1906333-Reviews-Admiral_Restaurant-Dublin_County_Dublin.html,1
74,Bread & Bones,550,197,4,Average,"['International', 'Vegetarian Friendly']","Unit 7 Millennium Walkway, Dublin Dublin 1 Ireland",53.3472381,-6.2653803,+353 1 534 6925,/Restaurant_Review-g186605-d7933971-Reviews-Bread_Bones-Dublin_County_Dublin.html,1
75,Hot Bubble Cafe,555,33,5,Cheap,"['Irish', 'Cafe', 'European']","55 Capel Street, Dublin Ireland",53.3492429,-6.2689383,+353 1 873 4871,/Restaurant_Review-g186605-d12416363-Reviews-Hot_Bubble_Cafe-Dublin_County_Dublin.html,1
76,Charming Noodles,559,86,4.5,Cheap,"['Chinese', 'Asian', 'Vegetarian Friendly']","100 Parnell Street, Dublin Ireland",53.3538035134513,-6.25853463977528,+353 1 872 9340,/Restaurant_Review-g186605-d814248-Reviews-Charming_Noodles-Dublin_County_Dublin.html,1
77,Brother's Dosirak,562,68,4.5,Cheap,"['Asian', 'Korean', 'Vegetarian Friendly']","27 Capel Street, Dublin DUBLIN 1 Ireland",53.347755075,-6.268397525,+353 87 097 5116,/Restaurant_Review-g186605-d10207213-Reviews-Brother_s_Dosirak-Dublin_County_Dublin.html,1
78,TJ.s Coffee Bar,578,49,4.5,Cheap,"['Irish', 'Cafe', 'European']","Parnell Street Dublin 1, Dublin Ireland",53.349902,-6.2681216,+353 87 692 3418,/Restaurant_Review-g186605-d3136343-Reviews-TJ_s_Coffee_Bar-Dublin_County_Dublin.html,1
79,Il Fornaio IFSC,585,219,4,Average,"['Italian', 'Pizza', 'Mediterranean']","Custom House Square Valentia House Mayor Street Lower, Dublin D01 P3K7 Ireland",53.3493147,-6.2429422,+353 1 672 1853,/Restaurant_Review-g186605-d1025227-Reviews-Il_Fornaio_IFSC-Dublin_County_Dublin.html,1
80,Cactus Jacks,597,503,3.5,Average,"['Mexican', 'Vegetarian Friendly', 'Vegan Options']","Middle Abbey Street, Dublin Ireland",53.347023,-6.2652219,+353 1 874 6198,/Restaurant_Review-g186605-d898843-Reviews-Cactus_Jacks-Dublin_County_Dublin.html,1
81,Molloy's Dublin,599,116,4,Average,"['Irish', 'Bar', 'Pub']","59 Talbot Street, Dublin D01 K298 Ireland",53.3511395,-6.2513336,+353 1 547 8873,/Restaurant_Review-g186605-d12428409-Reviews-Molloy_s_Dublin-Dublin_County_Dublin.html,1
82,Broadway New York Eatery,602,115,4,Cheap,"['Italian', 'American', 'Pizza']","Unit 6, Custom House Square, I.f.s.c, Dublin DUBLIN 1 Ireland",53.3479509,-6.2461271,+353 1 672 1812,/Restaurant_Review-g186605-d2100789-Reviews-Broadway_New_York_Eatery-Dublin_County_Dublin.html,1
83,Tea Garden,611,84,4.5,Average,['Cafe'],"7 Lower Ormond Quay, Dublin D1 Ireland",53.3462297,-6.2670466,+353 86 219 1010,/Restaurant_Review-g186605-d5821550-Reviews-Tea_Garden-Dublin_County_Dublin.html,1
84,SoMa at the Spire,616,87,4,Average,"['Quick Bites', 'Cafe', 'Vegetarian Friendly']","1 O'Connell Street Upper, Dublin D01 HR0 Ireland",53.3500097,-6.25987078310102,+353 1 878 0498,/Restaurant_Review-g186605-d14514410-Reviews-SoMa_at_the_Spire-Dublin_County_Dublin.html,1
85,Saburritos,618,196,4,Cheap,"['Mexican', 'Fast food', 'Vegetarian Friendly']","Novara House 3 Earl Street North, Dublin Ireland",53.3499222149729,-6.25964597136999,+353 83 477 9104,/Restaurant_Review-g186605-d5029038-Reviews-Saburritos-Dublin_County_Dublin.html,1
86,Boojum - Abbey Street,627,83,4,Cheap,"['Mexican', 'Fast food', 'Vegetarian Friendly']","3 Lower Abbey Street, Dublin Ireland",53.34865115,-6.25899297484506,+353 1 874 7237,/Restaurant_Review-g186605-d11671402-Reviews-Boojum_Abbey_Street-Dublin_County_Dublin.html,1
87,The Lab,632,36,5,Average,"['Italian', 'Pizza', 'Healthy']","54A Thomas Street, Dublin 8, Dublin D08 PV25 Ireland",53.3516,-6.2532942,+353 1 453 4744,/Restaurant_Review-g186605-d17779287-Reviews-The_Lab-Dublin_County_Dublin.html,1
88,Romano's,639,156,4,Average,"['Italian', 'Pizza', 'European']","12 Capel Street, Dublin Ireland",53.34681725,-6.26798847344826,+353 1 872 6868,/Restaurant_Review-g186605-d1017807-Reviews-Romano_s-Dublin_County_Dublin.html,1
89,The Harbourmaster,653,493,3.5,Average,"['Irish', 'Bar', 'International']","Dock Offices Custom House Dock Ifsc, Dublin D01 W0X8 Ireland",53.34980005,-6.24904963467839,+353 1 670 1688,/Restaurant_Review-g186605-d2214085-Reviews-The_Harbourmaster-Dublin_County_Dublin.html,1
90,Cafe Cucina,655,146,4,Average,"['Italian', 'Pizza', 'European']","Unit 9A Kings Court Parnell Street, Dublin 1 Ireland",53.3503711516536,-6.26645701124485,+353 1 873 4771,/Restaurant_Review-g186605-d3648927-Reviews-Cafe_Cucina-Dublin_County_Dublin.html,1
91,Musashi Parnell Street,677,33,4.5,Average,"['Japanese', 'Sushi', 'Asian']","179 Parnell Street Diblin 1, Dublin D01 YP60 Ireland",53.3513089,-6.2644017,+353 1 873 3921,/Restaurant_Review-g186605-d12872035-Reviews-Musashi_Parnell_Street-Dublin_County_Dublin.html,1
92,Kokoro Sushi and Bento,687,116,4,Cheap,"['Japanese', 'Fast food', 'Sushi']","19 Liffey Street Lower, Dublin Ireland",53.347718,-6.2637033,,/Restaurant_Review-g186605-d3476638-Reviews-Kokoro_Sushi_and_Bento-Dublin_County_Dublin.html,1
93,Toto Ristorante Italiano,691,357,3.5,Average,"['Italian', 'Pizza', 'European']","8 Talbot Street City Centre North, Dublin Ireland",53.3503282842969,-6.25710399036563,+353 1 874 7901,/Restaurant_Review-g186605-d2335550-Reviews-Toto_Ristorante_Italiano-Dublin_County_Dublin.html,1
94,Toddy's Bar and Bistro,692,446,3.5,Average,"['Irish', 'Bar', 'European']","23 Upper O'Connell Street Gresham Hotel, Dublin Ireland",53.3515365,-6.2606459,+353 1 817 6137,/Restaurant_Review-g186605-d2281971-Reviews-Toddy_s_Bar_and_Bistro-Dublin_County_Dublin.html,1
