Company,Phone,Fax,Web,Sector(s),Product,Nationality,Address,Additional1,Additional2
Phillips Medisize Ireland Limited,+353 74 9122055,+353 74 9122915,www.medisize.com,Medical Technology,Medical, diagnostic and pharmaceutical disposable devices,United States of America,High Road   Letterkenny Donegal Ireland,
Teva Waterford,+353 51 331 331,+353 51 331 398,www.teva.ie,Bio Pharmaceuticals,Generic Pharmaceuticals,Israel,Unit 301 Waterford Industrial Estate Cork Road Waterford Waterford Ireland,,
Belfius Ireland,+353 1 6455000,+353 1 8291577,www.dexia-investments.ie,,Specialises in international finance and invests in loans and securities,Belgium,6 George's Dock IFSC  Dublin Dublin Ireland,,
Northern Trust Management Services (Ireland) Limited,+353 1 5422000,,www.northerntrust.com,Financial Services,Fund management and administration,United States of America,Georges Court 54-62  Townsend Street  Dublin Dublin Ireland,,
Mirror Controls International Ireland,+353 71 9820040,+353 71 9855595,www.mirrorcontrols.com,Engineering,Internal & external mirrors, plastic moulding & assembly,United States of America,Park Road   Manorhamilton Leitrim Ireland,
Ingersoll Rand (Thermoking),+353 91 751231,,www.irco.com,,Transport refrigerators,United States of America,Monivea Road Mervue  Galway Galway Ireland,,
Eli Lilly Kinsale Limited,+353 21 4772699,,www.lilly.ie,Bio Pharmaceuticals,Pharmaceuticals and Fine Chems,United States of America,Dunderrow   Kinsale Cork Ireland,,
Colfix (Dublin) Limited,+353 1 4564244,+353 1 4564241,,Engineering,Road Emulsion,France,Bluebell Industrial Estate   Dublin Dublin Ireland,,
Bostik Industries Limited,+353 1 8624900,+353 1 8409894,www.bostikfindley.com,,Adhesives, Building Chemicals, PVC Compounds,France,Newtown   Swords Dublin Ireland
Thk Manufacturing Of Ireland Limited,+353 1 4628101,+353 1 4629080,www.pgm-uk.co.uk,Engineering,Manufacture Ground Ball Screws,Japan,Tallaght Business Park Whitestown Industrial Estate  Dublin Dublin Ireland,,
Saica Ireland,+353 1 8351411,+353 1 8351249,www.saica.com,Consumer Goods,Corrugated Packaging,Spain,Ballybin Road   Ashbourne Meath Ireland,,
Servier (Ireland) Industries Limited,+353 402 20800,+353 402 20888,www.servier.com,Bio Pharmaceuticals,Finished Pharmaceuticals,France,Gorey Road   Arklow Wicklow Ireland,,
Mylan Incorporated Gerard Laboratories,+353 1 839 8600,+353 1 839 3284,www.mylan.com,Bio Pharmaceuticals,Generic Pharmaceuticals,Netherlands,80 Baldoyle Industrial Estate Grange Rd.  Dublin Dublin Ireland,,
Eltex Manufacturing Limited,+353 504 31433,,www.eltex.se,ICT- ICT - Hardware,Measuring & Control Devices,Sweden,Railway Road   Templemore Tipperary North Ireland,,
Sulzer Pump Solutions Ireland Limited,+353 53 916 3200,+353 539142335,www.sulzer.com,Engineering,Submersible Pumps and Components,Switzerland,Clonard Road   Wexford Wexford Ireland,,
Siemens Healthcare Diagnostics Manufacturing Limited,+353 1 8132110,+353 1 8407356,www.siemens.com,,Diagnostic Equipment and Shared Services,Germany,Chapel Lane   Swords Dublin Ireland,,
G. Bruss GmbH,+353 71 9161720,+353 71 9169352,www.bruss.de,Engineering,O-Rings & Gaskets - rubber seals,Germany,Finisklin Road   Sligo Sligo Ireland,,
Apc By Schneider Electric,+353 1 6012200,,www.schneider-electric.ie,ICT- ICT - Hardware,Power Conditioning Equipment,France,Block AMaynooth Business Campus   Maynooth Kildare Ireland,,
Info-Lab Limited,+353 61330666,+353 61330668,,Engineering,Toner for Laser Printers, dampening additives,Germany,Unit 14 Annacotty Industrial Estate   Limerick Ireland,
Bank of America Merrill Lynch International DAC,+353 1 6058500,,,,Capital Market Activites.,United States of America,Merill Lynch International Central Park Leopardstown Dublin Dublin Ireland,,
ICI Dulux Paints Ireland Limited,+353 21 4220222,+353 21 4220205,www.dulux.ie,Engineering,Paints,Netherlands,Shandon Works Commons Road   Cork Ireland,,
Bourns Electronics (Ireland),+353 21 4515221,+353 21 4515292,www.bourns.com,ICT- ICT - Hardware,Shared ServicesElectronic Components,United States of America,Unit 12  Nessan House Bessboro Road   Cork Ireland,,
Mott Macdonald Ireland Limited,+353 1 2916747,+353 1 291 6747,www.mottmac.ci,,Consultant Engineers,United Kingdom,Rockfield - South Block Dundrum  Dublin Dublin Ireland,,
Logstrup (Ireland) Limited,+353 93 70900,+353 93 70901,www.logstrup.com,Engineering,Electrical Control Panels,Denmark,Dunmore Road   Tuam Galway Ireland,,
Cil Precision Limited,+353 58 54205,+353 58 54197,www.cilprecision.ie,Engineering,Engineered Fabrications,,Industrial Estate   Cappoquin Waterford Ireland,,
Alcatel Lucent Ireland Limited,+353 1 8864444,+353 1 8864400,www.lucent.ie,ICT- ICT - Hardware,Switching, Transmission & Fibre-Optic Networking Equipment and Wireless Systems, Shared Services Centre,Finland,Blanchardstown Industrial Park Blanchardstown  Dublin Dublin Ireland
MSD Brinny,+353 21 4329329,+353 21 4329367,www.msd.ie,Bio Pharmaceuticals,Interferon & GM-CSF,United States of America,Brinny   Innishannon Cork Ireland,,
Pfizer Ireland Pharmaceuticals,+353 21 4378701,+353 21 4378087,www.pfizer.ie/www.pfizer.com,Bio Pharmaceuticals,Bulk Pharmaceuticals,United States of America,API Plant P.O.Box 140  Ringaskiddy Cork Ireland,,
Camfil Ireland Limited,+353 1 8484977,+353 1 8484969,www.camfil.com,Engineering,Air Filters,Sweden,Clonshaugh Ind. Estate Clonshaugh  Dublin Dublin Ireland,,
Gam Fund Management Limited,+353 1 6093900,+353 1 6702088,www.gam.com,Financial Services,Fund Management & Administration,Switzerland,George's Court 54-62 Townsend Street  Dublin Dublin Ireland,,
Airbus Financial Services,+353 1 7905500,+353 1 6702020,www.airbus.com,Financial Services,Airbus customer support and finance - provides management services to certain related companies (Avion Capital Ltd & EADS Corporate Services Ltd), owner and lease manager of fleet of Airbus aircraft & manager of aircraft owned by 3rd party financiers,France,5th Floor  6 George's Dock IFSC  Dublin Dublin Ireland,
Steris AST,+353 57 9349999,+353 57 9349995,https://www.steris-ast.com/site/tullamore/,Medical Technology,ETO & E-Beam Sterilisation,United States of America,IDA Business & Technology Park Sragh  Tullamore Offaly Ireland,,
Gmt Ireland Limited,+353 95 21382,+353 95 21704,www.gmt.ie,Engineering,Rubber Antivibration Pads,Germany,Galway Road   Clifden Galway Ireland,,
Cardinal Health Tullamore,+353 57 9327200,+353 57 9327210,www.cardinalhealth.com,Medical Technology,Disposable Medical Devices,United States of America,Tullamore Business & Technology Park   Tullamore Offaly Ireland,,
Saint Gobain _ Gyproc Ireland,+353 429698100,+353 429667221,www.gyproc.ie,Engineering,Plaster Products,France,Kingscourt   Kingscourt Cavan Ireland,,
Cargotec,+353 42 9359500,+353 42 9359590,www.cargotec.com,Engineering,Truck Mounted Forklifts,Finland,Ardee Road   Dundalk Louth Ireland,,
Parker Hannifin Manufacturing (Ireland) Limited,+353 53 9141566,+353 53 9141582,www.snap-tite.com,Engineering,Precision Couplings,Valves & Hose,United States of America,Whitemill Industrial Estate   Wexford Wexford Ireland,
Coca Cola International Services,+353 41 9836471,+353 41 9846434,www.coke.com,Bio Pharmaceuticals- Consumer Goods,Concentrate manufacturer,United States of America,Southgate   Drogheda Meath Ireland,,
Merck Millipore Limited,+353 21 4883666,+353 21 4883048,www.millipore.com,Medical Technology,Membrane filtration devices,Germany,Tullagreine   Carrigtwohill Cork Ireland,,
Accenture Global Solutions Limited,+353 1 646 2000,+353 1 646 2020,www.accenture.com,Business Services,Management Consulting, IT Services and BPO,United States of America,1 Grand Canal Square Grand Canal Harbour  Dublin Dublin Ireland,
Roche Ireland Limited,+353 65 6867200,+353 65 6867490,www.roche.com,Bio Pharmaceuticals,Naproxen and Other Bulk Pharmaceuticals,Switzerland,   Clarecastle Clare Ireland,,
Faac Electronics Limited,+353 1 4215500,,www.faac.co.uk,ICT- ICT - Hardware,Radio Controlled Devices ,Italy,4055 Kingswood Avenue CityWest Business Campus  Dublin Dublin Ireland,,
Hollister Ulc.,+353 96 22066,+353 96 21237,www.hollister.com,Medical Technology,Ostomy Pouches,United States of America,Rehins   Ballina Mayo Ireland,,
GlaxoSmithKline Dungarvan Limited,+353 5820200,,www.gsk.com,Bio Pharmaceuticals,Finished Pharmaceuticals,United Kingdom,Knockbrack   Dungarvan Waterford Ireland,,
Franklin Pharmaceuticals Limited,+353 469436322,+353 469436295,,,Animal Feed Additives,Netherlands,Athboy Road   Trim Meath Ireland,,
Aon Insurance Managers (Dublin) Limited,,+353 1 6762744,www.aon.ie,Financial Services,Captive management, reinsurance management, consultancy services to multinational clients and risk management,United Kingdom,Third Floor  The Metropolitan Building James Joyce Street  Dublin Dublin Ireland
Xilinx Ireland,+353 1 4640311,+353 1 4640324,www.xilinx.com,ICT- ICT - Hardware,Integrated Circuit Designs,United States of America,One Logic Drive Citywest Business Campus  Dublin Dublin Ireland,,
Hydro Tech Engineering,+353 526124611,+353 526124276,,Engineering,Tail Lifts,Belgium,Waterford Road   Clonmel Tipperary South Ireland,,
Becton Dickinson & Co Limited,+353 419871500,+353 419839066,www.bd.com,Medical Technology,Disposable syringes & needles,United States of America,Donore Road   Drogheda Louth Ireland,,
Carl Zeiss Vision Ireland Limited,+353 53 9163606,,www.vision.zeiss.com,Medical Technology,Ophthalmic plastic lenses,Germany,Floor 2 Iberius House Common Quay Street  Wexford Ireland,,
Iqor Global Services Ireland Limited,+353 1 8022816,,www.jabil.com,ICT- ICT - Hardware,Electronic Manufacturing Services (remanufacture and repair),United States of America,Unit 6 Willsborough Cluster Clonshaugh Industrial Estate  Dublin Dublin Ireland,,
Gea Process Technologies Ireland Limited,+353 45 981200,+353 45 981232,,Engineering,Process Engineering,Germany,Ash House  Lime Tree Avenue Millenium Park  Naas Kildare Ireland,,
Schaefer Gmbh,+353 27 51580,+353 27 51581,www.schaeferpower.com,ICT- ICT - Hardware,Power Supplies,Germany,Unit 7 Enterprise Centre  Bantry Cork Ireland,,
Oasis,+353 96 71222,+353 96 71433,www.oasis.ie,,Water Coolers & Dehumidifiers,United States of America,Bunree Road Bunree Industrial Estate  Ballina Mayo Ireland,,
GlaxoSmithkline Cork Limited,+353 214378800,+353 214378983,www.gsk.com,Bio Pharmaceuticals,Bulk Pharmaceuticals,United Kingdom,Currabinny   Carrigaline Cork Ireland,,
BMC Software Europe,,,www.bmc.com/en-GB/,ICT- ICT - Software,Pan European Sales and Marketing Centre and Software Development for MVS,United States of America,Building 3 The Campus, Cherrywood    Dublin Ireland,
Tegral Building Products Limited,+353 598631316,+353 598638637,www.tegral.com,Engineering,Building Materials,Belgium,Kilkenny Road   Athy Kildare Ireland,,
SPX Flow Technology Kerry Limited,+353 64 663 3322,+353 64 663 3371,www.spxflow.com,Engineering,Air Filters,United States of America,IDA Business Park Tiernaboul  Killarney Kerry Ireland,,
De Laval Limited,+353 599146859,+353 599146860,www.delaval.com,Engineering,Process Control Systems,Switzerland,Unit 6 Shamrock Business Park   Carlow Ireland,,
Boxmore Plastics Limited,+353 499526219,+353 499526423,,Consumer Goods,Plastic bottles and containers,,Annagh Industrial Park   Ballyconnell Cavan Ireland,,
Advanced Couplings Limited,+353 906 626556,+353 906 625418,www.advanced-couplings.co.uk,Engineering,Couplings,United Kingdom,Henry Street   Roscommon Roscommon Ireland,,
Anp International Finance Limited,+353 1 6700188,+353 1 6700195,www.anpi.ie,Financial Services,Treasury management and foreign trade finance including advising, confirming and negotiation of letters of credit,Nigeria,International House 3 Harbourmaster Place  Dublin Dublin Ireland,
PepsiCo Global Concentrate Solutions,+353 21 4846100,,www.pepsico.com,Bio Pharmaceuticals,Beverage Concentrates ,United States of America,P.O.Box 111  Little Island Industrial Estate   Little Island Cork Ireland,,
MSD (Ireland),+353 51601000,+353 51601241,www.msdireland.ie,Bio Pharmaceuticals,Bulk Pharmaceuticals,United States of America,Ballydine Kilsheelan  Clonmel Tipperary South Ireland,,
Wavin Ireland Limited,353 1 8020200,+353 1 8415664,www.wavin.ie,Engineering,Plastic Pipes,,Dublin Road   Balbriggan Dublin Ireland,,
Kemek Ltd,+353 469541086,+353 469541383,www.iie-online.com,Engineering,Explosives,France,Clonagh   Enfield Meath Ireland,,
Cameron Ireland Limited,+353 433350600,+353 433341560,www.c-a-m.com,Engineering,Valves for Oil Wells, R&D,United States of America,Aghafad   Longford Longford Ireland,
Intepro Systems,+353 61332233,+353 61332584,www.inteproate.com,ICT- ICT - Hardware,Power supply & EMC test equipment,United States of America,National Technological Park Castletroy  Limerick Limerick Ireland,,
Ulster Bank Corporate Banking & Financial Markets,,,www.ulsterbank.com,,Structured/Specialised Finance, International Lending & Leasing, Outsourced Treasury Services,United Kingdom,George's Quay   Dublin Dublin Ireland
Barclays Bank Ireland PLC,+353 1 6182600,+353 1 662 3141,www.barclays.ie,Financial Services,Asset & structured finance, financial engineering, corporate treasury, general assurance,United Kingdom
Irish Driver Harris Company Ltd.,+353 51 421405,+353 51 422983,www.idh.ie,Engineering,Electrical Cables,Germany,Millbanks Rosbercon  New Ross Wexford Ireland,,
Sogeti Ireland,+353 1 6390100,+353 1 6614916,www.sogeti.ie,Business Services,Development of IT software, System integration,France,Ground Floor Metropolitan House James Joyce Street Dublin Dublin Ireland,
Fujitsu Services Limited,+353 1 8136000,+353 1 8136100,www.ie.fujitsu.com/,ICT- ICT - Software,Computers,Japan,Unit 100 Airside Business Park   Swords Dublin Ireland,,
CG Power Systems Ireland Limited (Cavan),+353 49 4331588,+353 49 4332052,www.cgglobal.com,Engineering,Distribution Transformers,India,Dublin Road   Cavan Cavan Ireland,,
Astellas Ireland Co. Limited,+353 1 8030800,+353 1 8030801,www.astellas.com/worldwide.html,Bio Pharmaceuticals,Bulk Pharmaceuticals,Japan,Damastown Road  Damastown Industrial Park Mulhuddart  Dublin Dublin Ireland,,
Measurement Speciality,+353 91 753238,+353 91 753615,www.meas-spec.com,,Thermistors,United States of America,Ballybrit Business Park   Galway Galway Ireland,,
Sanmina Ireland Unlimited Company,+353 25 82400,+353 25 82401,www.sanmina.com,ICT- ICT - Hardware,Electronic Contract Mfg (ECM),United States of America,Rathealy Road   Fermoy Cork Ireland,,
Ball Corporation (Rexam Ireland),+353 51359100,,www.rexam.com,Consumer Goods,Can Ends,United States of America,Waterford Industrial Estate Cork Road  Waterford Waterford Ireland,,
Misys Ireland,+353 1 6361000,+353 1 8554550,www.misys.com,ICT- ICT - Software,Computer S/W for Banking,United Kingdom,Eastpoint Business Park Fairview  Dublin Dublin Ireland,,
Renishaw (Ireland) Limited,+353 1 8131100,+353 1 8131122,www.renishaw.com,ICT- ICT - Hardware,Measuring Probes and associated software,United Kingdom,Swords Business Park   Swords Dublin Ireland,,
AMES True Temper,+353 21 4302433,+353 21 4304621,www.ames.com,Consumer Goods,Metal Garden Tools,United States of America,Whites Cross Cork City  Cork Cork Ireland,,
Beckman Coulter Biomedical Limited,+353 65 6831100,+353 65 6835392,,Bio Pharmaceuticals,Diagnostic Reagents and solutions,United States of America,Lismeehan   O Callaghan Mills Clare Ireland,,
Ipsen Manufacturing Ireland Limited,+353 1 8098200,+353 1 8201538,www.ipsen.com,Bio Pharmaceuticals,Peptide Active Ingredients,France,Blanchardstown Industrial Park   Dublin Dublin Ireland,,
JP Morgan Bank (Ireland) PLC,+353 1 6123000,+353 1 6123131,www.jpmorgan.com,Financial Services,Trust & Custodial Services, Outsourcing Servces, Securitisation Administration,United States of America,200 Capital Dock 79 Sir John Rogerson’s Quay  Dublin Dublin Ireland
Scientific Games Worldwide Limited,+353 9064 32666,,www.scientificgames.com,ICT- ICT - Hardware,Wagering Equipment - Terminals,United States of America,Athlone Road   Ballymahon Longford Ireland,,
Pembroke Capital Limited,+353 1 6194700,+353 1 6194790,,Financial Services,Aircraft operating lessor - remarkets and manages aircraft assets as a principal and also on behalf of 3rd parties - aircraft leasing, financing, management, trading and financial advisory services,United Kingdom
HSBC Securities Services (Ireland) Limited,+353 1 6356000,,www.hsbc.com,Financial Services,Fund Valuation, Accounting, Shareholder and Company Secretarial Services,United Kingdom,1 Grand Canal Square Grand Canal Harbour  Dublin Dublin Ireland
RBC Investor and Treasury Services Limited (Ireland),+353 1 6130444,+353 1 6130445,https://www.rbcits.com/,Financial Services,Global custody & trustee services,,One George's Quay Plaza, 4th floor 43 Townsend Street  Dublin Dublin Ireland,
Lionbridge Technologies Ireland Ballina,+353 9673700,+353 9673701,,Consumer Goods,European Software Test Centre, Testing and Certification Services,United States of America,Emmet Street   Ballina Mayo Ireland,
Horner Apg Ireland,+353 214321266,+353 214321826,www.heapg.com,Engineering,Parts and Peripherals for Programmable Logic Controllers,United States of America,Unit 1 - Centrepoint    Cork Ireland,,
Simultrans Limited,+353 1 8193000,+353 1 8556551,www.simultrans.ie,Business Services,Software Localisation & Translation Provider,United States of America,Marina House Eastpoint Business Park   Dublin Ireland,,
Amcor Flexibles Sligo Limited,+353 71 9161354,+353 71 9161343,www.amcor.com,Medical Technology,Medical Packaging,Australia,Orchard Park Finisklin Business Park  Sligo Sligo Ireland,,
Upjohn Little Island API,+353 214523600,+353 214523696,www.pfizer.com,,Pharmaceuticals & Fine Chemical,United States of America,Little Island Industrial Estate   Little Island Cork Ireland,,
Tosara Products Limited,+353 1 8321199,,www.teva.com,Bio Pharmaceuticals,Antiseptic Creams,Israel,Unit 14 Baldoyle Industrial Estate Baldoyle Dublin Dublin Ireland,,
Doosan Infracore Co. Limited,+353 1 870 7000,,,,Excavator Buckets,South Korea,Block B Swords Business Campus  Swords Dublin Ireland,,
Boc Gases Ireland,+353 214353611,+353 214353225,www.bocgases.ie,Bio Pharmaceuticals,Bulk Gases,Germany,Little Island   Cork Cork Ireland,,
B Braun Hospicare Limited,+353 71 9167491,+353 71 9167054,www.bbraun.ie,Medical Technology,Ostomy Bags (60%), Wound Dressings (40%),Germany,Dublin Road   Collooney Sligo Ireland,
Medtronic Galway,+353 91 402200,+353 91 753922,www.covidien.com,Medical Technology,Respiratory Care Equipment,United States of America,Michael Collins Road Mervue  Galway Galway Ireland,,
Transbach Limited,+353 56 7763722,+353 56 7761776,www.bachpacks.com,Consumer Goods,Rucksacks,Switzerland,46 Hebron Industrial Estate    Kilkenny Ireland,,
Takeda Ireland Limited,+353 1 2050600,+353 1 2050601,www.takeda.ie,Bio Pharmaceuticals,Pharmaceuticals,Japan,Bray Industrial Park   Kilruddery Wicklow Ireland,,
Boc Gases Ireland,+353 1 4091800,+353 1 4091801,www.bocgases.ie,Engineering,Bulk Gases,Germany,P.O.Box 201 Bluebell  Dublin Dublin Ireland,,
Metal Processors Limited,+353 1 4573240,+353 1 4573253,www.metalprocessors.ie,Engineering,Lead Refining,United Kingdom,Station Road Clondalkin  Dublin Dublin Ireland,,
Theo Benning Irl.,+353 53 9143155,+353 53 9141841,www.benning.de,ICT- ICT - Hardware,Voltage Testers & Power Supplies,Germany,Whitemill Industrial Estate   Wexford Wexford Ireland,,
Procter & Gamble (Manufacturing) Ireland Limited,+353 45437200,+353 45433830,www.oral-b.com,Consumer Goods,Oral Hygeine Products, Dental Equip & Supplies,United States of America,Green Road   Newbridge Kildare Ireland,
Alps Electric (Ireland) Limited,+353 2970677,,www.alps.com,ICT- ICT - Hardware,Electronic Automotive Components,Japan,Clara Road   Millstreet Cork Ireland,,
Sennheiser Ireland ,+353 57 9346900,+353 57 9346909,www.sennheiser.com,ICT- ICT - Hardware,Hi-Fi Headphones, RF products and shared services,Germany,Tullamore Business and  Technology Park Srah  Tullamore Offaly Ireland,
Nordson Medical Ireland,+353 719663038,+353 719663039,www.nordsonmedical.com,Medical Technology,Extruded medical tubing and devices,United States of America,Abbeytown   Boyle Roscommon Ireland,,
Flex Ltd.,+353 21 2300000,+353 21 2300299,www.flextronics.com,ICT- ICT - Hardware,Electronic Manufacturing Services,United States of America,Kilbarry Industrial Estate Dublin Hill  Cork Cork Ireland,,
Colas Teoranta,+353 91 794650,+353 91 794675,www.coldchon.ie,Engineering,Road construction & maintenance,France,   Oranmore Galway Ireland,,
Diversey Ireland Limited,+353 1 8081808,,www.diversey.com,,Detergent,United States of America,Jamestown Road Finglas  Dublin Dublin Ireland,,
Castolin Eutectic Ireland Limited,+353 1 4515833,+353 1 4515197,www.castolin.com,Engineering,Metal Powders,,36 Magna Avenue Magna Business Park  Dublin Dublin Ireland,,
Schlotter (Ireland) Limited,+353 45447400,+353 45432941,www.schloetter.com,,Electroplating chemicals,Germany,Road Q1  Unit 4 - Lewistown Toughers Business Park  Newbridge Kildare Ireland,,
Welch Allyn Limited,+353 469067700,+353 469067204,www.welchallyn.com,Medical Technology,Shared Services,United States of America,Navan Business Park Dublin Road  Navan Meath Ireland,,
Carten Controls Limited,+353 51 355436,+353 51 378054,www.cartencontrols.com,Engineering- ICT- ICT - Hardware,High Purity Valves,Japan,Unit 609 Northern Ext. Waterford Industrial Park  Waterford Waterford Ireland,,
Moduslink,+353 45 527 100,+353 45 522 026,www.moduslink.com,Consumer Goods,Disk replication and fulfilment for the technology manufacturing sector,United States of America,Monasterevin Road   Kildare Kildare Ireland,,
Ballou Limited,+353 1 4661950,+353 1 4661955,www.wrcobb.com,Consumer Goods,Findings Manufacturers,United States of America,Unit J2 Enterprise Centre Baldonnell Business Park Dublin Dublin Ireland,,
Henkel Ireland Limited (Tallaght),+353 1 4519494,+353 1 451 9494,www.henkel.co.uk,Engineering,Adhesives Manufacturing - R&D and Finance,Germany,Tallaght Business Park Whitestown  Dublin Dublin Ireland,,
Lagan Brick,+353 598635513,+353 598635582,www.laganbrick.com,Financial Services,Clay Bricks,,The Swan    Laois Ireland,,
Ophardt Hygiene,+353 71 9189382,+353 71 9183286,,Consumer Goods,Soap Dispensers, Hygiene products,Germany,Tubbercurry Road   Ballymote Sligo Ireland,
Microsoft Ireland Research,+353 1 295 3826,+353 1 706 4110,www.microsoft.com,ICT- ICT - Software,Development and manufacture of Package SoftwareShared Services ,United States of America,Atrium Building Block B Carmen Hall Road Dublin Dublin Ireland,,
Imofa Limited,+353 59 9131646,,www.thermoair.ie,Engineering,Motors & Fans ,Netherlands,Strawhall Industrial Estate Strawhall  Carlow Carlow Ireland,,
Hewlett Packard Enterprise Galway Limited,+353 91 754000,+353 91 754444,www.hp.com/ie,ICT- ICT - Software,European Software headquarters engaged in development, multi-lingual technical support and telemarketing,United States of America,European Software Centre Ballybrit Business Park  Galway Galway Ireland,
Lisk Ireland Limited,+353 91 631711,+353 91 633011,www.gwlisk.com,Engineering,Electro Mechanical Control Technology,United States of America,Ennis Road   Gort Galway Ireland,,
Apple Operations Europe,+353 21 4284000,,www.apple.com,ICT- ICT - Hardware,Personal Computers Systems and  CRM,United States of America,Hollyhill Industrial Estate   Cork Cork Ireland,,
SK Biotek Ireland Limited,+353 1 8139000,+353 1 8139160,http://www.skbiotek.com/,Bio Pharmaceuticals,Bulk Pharmaceuticals,United States of America,Watery Lane   Swords Dublin Ireland,,
European Chemical Industries Limited,+353 429751520,+353 429746222,www.eci-limited.de,Engineering,Adhesives and Sealants,Germany,Killycard   Castleblayney Monaghan Ireland,,
Janssen Pharmaceutical Sciences UC,+353 214978500,+353 214978550,www.jnj.com,Bio Pharmaceuticals,Bulk Pharmaceuticals,United States of America,Little Island   Cork Cork Ireland,,
CDK Global (Ireland) Ltd.,,,www.cdkglobal.ie,ICT- ICT - Software,IT Communications Software Development,Ireland,CDK Global Automotive Systems (Ireland) Ltd. 3091 Lake Drive Citywest Business CampusDublin 24 Dublin Dublin Ireland,,
National Pen Promotional Products Limited,+353 42 938 8500,+353 42 938 8586,www.nationalpen.com,Business Services,Fulfilment and sales / support for personalised pens and other merchandise outside in Europe, Asia and Australia / NZ,Netherlands,Building D Xerox Technology Park Dublin Road Dundalk Louth Ireland,
Irish Industrial Explosives Limited,+353 1 6549900,+353 1 6510196,www.iie-online.com,,Explosives,France,(Head Office) H11 Maynooth Business Campus  Maynooth Kildare Ireland,,
Schindler Limited,+353 1 4502331,+353 1 4508526,www.schindler.ie,Engineering,Passenger and Goods Lifts,Switzerland,12A Joyce Way Parkwest Business Park   Dublin Ireland,,
Taconic International Limited,+353 44 9340477,+353 44 9339064,www.4taconic.com,Engineering,Teflon Coated Plastics,United States of America,Mullingar Business Park   Mullingar Westmeath Ireland,,
Itw Filtertek,+353 69 62666,+353 69 62575,www.filtertek.com,Medical Technology,Fluid and Blood Filters ,United States of America,Shannon Industrial Estate   Newcastlewest Limerick Ireland,,
Teleflex Medical,+353 61 331906,+353 61 330725,www.teleflex.com,Medical Technology,Extruded medical Tubing & catheters.,United States of America,IDA Business Park   Annacotty Limerick Ireland,,
Lm Ericsson Limited,+353 1 2072000,,www.ericsson.se,ICT- ICT - Software,Int Training, Courseware Development,Sweden,Beech Hill Clonskeagh  Dublin Dublin Ireland,
B Braun Medical Limited,+353 1 7091800,+353 1 7091888,www.bbraun.com,Medical Technology,Parenteral Nutrition,Germany,3 Naas Road Industrial Park   Dublin Dublin Ireland,,
Norbrook Manufacturing Limited,+353 47 81180,+353 47 81187,www.norbrook.co.uk,Bio Pharmaceuticals,Veterinary Pharmaceuticals,United Kingdom,Rossmore Industrial Estate   Monaghan Monaghan Ireland,,
Allergan Pharmaceuticals Ireland,+353 98 25222,+353 98 25791,www.allergan.ie,Bio Pharmaceuticals,Ophthalmic Drugs,United States of America,Castlebar Road   Westport Mayo Ireland,,
Honeywell Process Solutions,+353 51 372151,+353 51 376180,www.honeywell.com,,Process Control Equipment,United States of America,Unit 24-26 Waterford Industrial Estate  Waterford Waterford Ireland,,
GlaxoSmithKline Oral Care,+353 5820200,,www.gsk.com,Bio Pharmaceuticals,Oral Care products,United Kingdom,Youghal Road   Dungarvan Waterford Ireland,,
Leo Pharma Cork (Wexport Limited),+353 214354102,+353 214354319,www.leo-pharma.com,Bio Pharmaceuticals,Heparin,Denmark,Little Island   Little Island Cork Ireland,,
