Name,Ranking,Reviews,Rating,Price,Cuisines,Address,Latitude,Longitude,Phone,Link
Umi Falafel,73,1008,4.5,Cheap,"['Lebanese', 'Fast food', 'Mediterranean']","Callaghan House 13 Dame Street, Dublin D02HX67 Ireland",53.32460317198452,-6.26523995106604,+353 1 670 6866,/Restaurant_Review-g186605-d5003310-Reviews-Umi_Falafel-Dublin_County_Dublin.html
Fish Shack Cafe,74,1414,4.5,Average,"['Irish', 'Seafood', 'European']","13 Parliament Street Temple Bar, Dublin DUBLIN 2 Ireland",53.344751,-6.2673553,+353 1 544 0700,/Restaurant_Review-g186605-d10093910-Reviews-Fish_Shack_Cafe-Dublin_County_Dublin.html
La Maison,75,845,4.5,Average,"['French', 'Irish', 'European']","15 Castlemarket Street, Dublin D2 Ireland",53.3422995150196,-6.262856520015593,+353 1 672 7258,/Restaurant_Review-g186605-d1511879-Reviews-La_Maison-Dublin_County_Dublin.html
Baan Thai Ballsbridge,76,428,4.5,Average,"['Asian', 'Thai', 'Vegetarian Friendly']","16 Merrion Road Ballsbridge, Dublin 4 Ireland",53.3289843,-6.2302464,+353 1 660 8833,/Restaurant_Review-g186605-d785562-Reviews-Baan_Thai_Ballsbridge-Dublin_County_Dublin.html
F.X. Buckley Pembroke St,77,1131,4.5,Average,"['Steakhouse', 'Irish', 'European']","1A Lower Pembroke Street Off Baggot Street Lower, Dublin 2 Ireland",53.3373029,-6.2519527,+353 1 676 4606,/Restaurant_Review-g186605-d1542382-Reviews-F_X_Buckley_Pembroke_St-Dublin_County_Dublin.html
Lundy Foots,78,175,4.5,Average,"['Irish', 'Bar', 'European']","1/3 Essex Gate Temple Bar, Dublin D08 PN7C Ireland",53.3449133,-6.2679467,+353 1 671 1535,/Restaurant_Review-g186605-d14161947-Reviews-Lundy_Foots-Dublin_County_Dublin.html
Sparks,80,271,4.5,Average,"['Italian', 'Pizza', 'International']","Unit 3, Block C Smithfield Market, Dublin Dublin 7 Ireland",53.3486092,-6.2775579,+353 1 873 0003,/Restaurant_Review-g186605-d7653294-Reviews-Sparks-Dublin_County_Dublin.html
Host,81,117,4.5,Average,"['Italian', 'Mediterranean', 'European']","Rere of 7 13 Ranelagh Road, Dublin Ireland",53.3488157,-6.229606874378415,+353 1 561 2617,/Restaurant_Review-g186605-d12952719-Reviews-Host-Dublin_County_Dublin.html
The Chop House Gastro Pub,82,901,4.5,Average,"['Steakhouse', 'Irish', 'Bar']","2 Shelbourne Road Ballsbridge Dublin 4, Dublin D04 V4K0 Ireland",53.3370738006889,-6.234323308473259,+353 1 660 2390,/Restaurant_Review-g186605-d1637232-Reviews-The_Chop_House_Gastro_Pub-Dublin_County_Dublin.html
Arthur's Pub,84,1104,4.5,Average,"['Irish', 'International', 'European']","28 Thomas Street West, Dublin D08 VF83 Ireland",53.331079,-6.278537,+353 1 402 0914,/Restaurant_Review-g186605-d2640057-Reviews-Arthur_s_Pub-Dublin_County_Dublin.html
Zakura Noodle & Sushi,85,236,4.5,Average,"['Japanese', 'Sushi', 'Asian']","13 Wexford Street, Dublin Dublin 2 Ireland",53.33382739335188,-6.244926075095207,+353 1 555 8000,/Restaurant_Review-g186605-d5077732-Reviews-Zakura_Noodle_Sushi-Dublin_County_Dublin.html
The Palace,87,392,4.5,Average,"['Irish', 'Bar', 'Pub']","21 Fleet Street, Dublin Ireland",53.3359616,-6.2655187,+353 1 677 9290,/Restaurant_Review-g186605-d696329-Reviews-The_Palace-Dublin_County_Dublin.html
Delahunt,88,411,4.5,Average,"['Irish', 'Vegetarian Friendly', 'Vegan Options']","39 Lower Camden Street, Dublin Ireland",53.33426795603084,-6.265209288627328,+353 1 598 4880,/Restaurant_Review-g186605-d7292134-Reviews-Delahunt-Dublin_County_Dublin.html
Girl and the Goose Restaurant,89,301,4.5,Average,"['Irish', 'International', 'European']","10 Merrion Road 1st Floor, Dublin D4 Ireland",53.32875420198304,-6.230765146815747,+353 1 667 4446,/Restaurant_Review-g186605-d10270996-Reviews-Girl_and_the_Goose_Restaurant-Dublin_County_Dublin.html
Bite of Life,90,194,4.5,Cheap,"['Irish', 'Cafe', 'European']","55 Patrick Street 8, Dublin Ireland",53.3407216,-6.2721486,+353 1 454 2949,/Restaurant_Review-g186605-d2198404-Reviews-Bite_of_Life-Dublin_County_Dublin.html
Sova Vegan Butcher,91,299,4.5,Average,"['European', 'Vegetarian Friendly', 'Vegan Options']","51 Pleasants Street Portobello, Dublin D08 EF24 Ireland",53.3354811,-6.2663042,+353 86 775 8549,/Restaurant_Review-g186605-d8491341-Reviews-Sova_Vegan_Butcher-Dublin_County_Dublin.html
Matt The Thresher,93,2523,4.5,Average,"['Irish', 'Seafood', 'European']","32 Pembroke Street Lower, Dublin Ireland",53.33704987242939,-6.25177301994876,+353 1 676 2980,/Restaurant_Review-g186605-d2259146-Reviews-Matt_The_Thresher-Dublin_County_Dublin.html
Bad Bobs Temple Bar,94,1727,4.5,Average,"['Bar', 'Grill', 'Pub']","35-37 Essex Street East Temple Bar, Dublin D02 Y891 Ireland",53.3450328,-6.2659898,+353 1 677 8860,/Restaurant_Review-g186605-d4260395-Reviews-Bad_Bobs_Temple_Bar-Dublin_County_Dublin.html
The Boxty House,95,6164,4.5,Average,"['Irish', 'Bar', 'Seafood']","20-21 Temple Bar Temple Bar, Dublin D2 Ireland",53.345657242925796,-6.26208109721426,+353 1 677 2762,/Restaurant_Review-g186605-d696229-Reviews-The_Boxty_House-Dublin_County_Dublin.html
The Brazen Head,96,5165,4.5,Average,"['Irish', 'Bar', 'European']","20 Bridge Street, Dublin Ireland",53.34498178647957,-6.276335055660788,+353 1 677 9549,/Restaurant_Review-g186605-d1884058-Reviews-The_Brazen_Head-Dublin_County_Dublin.html
The Lotts Cafe Bar,97,1794,4.5,Average,"['Steakhouse', 'Irish', 'Bar']","9 Lower Liffey Street, Dublin 1 Beside the Halpenny Bridge, Dublin Dublin 1 Ireland",53.3463031,-6.263084699999999,+353 1 872 7669,/Restaurant_Review-g186605-d3418532-Reviews-The_Lotts_Cafe_Bar-Dublin_County_Dublin.html
The Bank on College Green,98,3221,4.5,Average,"['Irish', 'Bar', 'European']","20-22 College Green, Dublin Dublin 2 Ireland",53.34405835,-6.261561453978527,+353 1 677 0677,/Restaurant_Review-g186605-d1123767-Reviews-The_Bank_on_College_Green-Dublin_County_Dublin.html
Cirillo's,99,293,4.5,Average,"['Italian', 'Pizza', 'European']","140 Baggot Street Lower, Dublin 2 Ireland",53.337865530716456,-6.2525190586981765,+353 1 676 6848,/Restaurant_Review-g186605-d10146980-Reviews-Cirillo_s-Dublin_County_Dublin.html
The Greenhouse,100,630,4.5,Expensive,"['European', 'Vegetarian Friendly', 'Gluten Free Options']","Dawson Street, Dublin Ireland",53.34009598386582,-6.258517918170978,+353 1 676 7015,/Restaurant_Review-g186605-d2713123-Reviews-The_Greenhouse-Dublin_County_Dublin.html
Boeuf,101,328,4.5,Average,"['French', 'Steakhouse', 'Grill']","63 South William Street, Dublin D02 CX86 Ireland",53.342825,-6.262142,+353 1 677 1546,/Restaurant_Review-g186605-d12999963-Reviews-Boeuf-Dublin_County_Dublin.html
Doheny & Nesbitt,102,554,4.5,Average,"['Irish', 'Bar', 'European']","5 Baggot Street Lower, Dublin Ireland",53.338075450000005,-6.252841801686423,+353 1 676 2945,/Restaurant_Review-g186605-d696209-Reviews-Doheny_Nesbitt-Dublin_County_Dublin.html
Locks,103,298,4.5,Average,"['Irish', 'Contemporary', 'Vegetarian Friendly']","1 Windsor Terrace Portobello, Dublin D08 HT20 Ireland",53.329863599999996,-6.27172510262183,+353 1 416 3655,/Restaurant_Review-g186605-d8612516-Reviews-Locks-Dublin_County_Dublin.html
Bison Bar and BBQ,104,579,4.5,Average,"['Bar', 'Barbecue', 'Pub']","11 Wellington Quay, Dublin D02 XY28 Ireland",53.3453796,-6.2662828,+353 1 533 7561,/Restaurant_Review-g186605-d4153809-Reviews-Bison_Bar_and_BBQ-Dublin_County_Dublin.html
O'Flaherty's Pub,105,368,4.5,Average,"['Irish', 'Bar', 'European']","3 Crown Alley Old Storehouse Bar & Restaurant, Dublin D02 CX67 Ireland",53.345176,-6.262646,+353 1 607 4003,/Restaurant_Review-g186605-d6419935-Reviews-O_Flaherty_s_Pub-Dublin_County_Dublin.html
Bastible,107,242,4.5,Average,"['Irish', 'European', 'Vegetarian Friendly']","111 South Circular Road Leonards Corner, Dublin Ireland",53.33218764851951,-6.274904612573388,+353 1 473 7409,/Restaurant_Review-g186605-d9830811-Reviews-Bastible-Dublin_County_Dublin.html
Stag's Head,109,456,4.5,Average,"['Irish', 'Bar', 'European']","1 Dame Ct., Dublin Dublin 2 Ireland",53.343822700000004,-6.263574567490494,+353 1 679 3687,/Restaurant_Review-g186605-d716003-Reviews-Stag_s_Head-Dublin_County_Dublin.html
Monty's of Kathmandu,112,719,4.5,Average,"['Indian', 'Asian', 'Nepalese']","Eustace Street, Dublin 2 Ireland",53.3449029,-6.2648825,+353 1 670 4911,/Restaurant_Review-g186605-d811282-Reviews-Monty_s_of_Kathmandu-Dublin_County_Dublin.html
The Shelbourne Hotel,113,381,4.5,Expensive,"['Irish', 'European', 'Vegetarian Friendly']","27 St Stephen's Green Adjacent to Merrion Row, Dublin Ireland",53.339110149999996,-6.2562018677448705,+353 1 663 4500,/Restaurant_Review-g186605-d7891010-Reviews-The_Shelbourne_Hotel-Dublin_County_Dublin.html
McGettigans Cookhouse & Bar,114,621,4.5,Average,"['Irish', 'Bar', 'International']","Amiens Street, Dublin 1 Ireland",53.3516917,-6.2501036,+353 1 836 3136,/Restaurant_Review-g186605-d3859070-Reviews-McGettigans_Cookhouse_Bar-Dublin_County_Dublin.html
Boojum - Millenium Walkway,115,641,4.5,Cheap,"['Mexican', 'Fast food', 'Central American']","Millennium Walkway, Dublin Dublin 1 Ireland",53.3472381,-6.2653803,+353 1 872 9499,/Restaurant_Review-g186605-d1733560-Reviews-Boojum_Millenium_Walkway-Dublin_County_Dublin.html
Lemon Jelly Cafe,116,644,4.5,Average,"['Irish', 'Cafe', 'European']","Unit 11 Millennium Walkway Dublin 1, Dublin D01 Y027 Ireland",53.3470921,-6.2654609,+353 1 873 5161,/Restaurant_Review-g186605-d1096316-Reviews-Lemon_Jelly_Cafe-Dublin_County_Dublin.html
Millstone Restaurant,117,1103,4.5,Average,"['Steakhouse', 'Irish', 'Seafood']","39 Dame Street, Dublin Dublin 2 Ireland",53.34428330578288,-6.262694670243162,+353 1 679 9931,/Restaurant_Review-g186605-d781484-Reviews-Millstone_Restaurant-Dublin_County_Dublin.html
The Unicorn,118,342,4.5,Average,"['Italian', 'Steakhouse', 'Seafood']","Merrion Court 12B Merrion Row Merrion Row, Dublin D02 DA52 Ireland",53.338226021666614,-6.254811326647668,+353 1 662 4757,/Restaurant_Review-g186605-d716031-Reviews-The_Unicorn-Dublin_County_Dublin.html
